symbol,trade_date,close
2330.TW,2024-01-02,40.0316
2317.TW,2024-01-02,47.0174
2454.TW,2024-01-02,54.0124
2308.TW,2024-01-02,61.0519
3711.TW,2024-01-02,68.0347
2382.TW,2024-01-02,74.9828
2345.TW,2024-01-02,82.0746
6669.TW,2024-01-02,89.0579
3231.TW,2024-01-02,96.0029
3037.TW,2024-01-02,103.0093
2327.TW,2024-01-02,110.1441
2379.TW,2024-01-02,117.0901
3034.TW,2024-01-02,124.0682
3661.TW,2024-01-02,131.0721
3008.TW,2024-01-02,138.236
2357.TW,2024-01-02,145.1233
2301.TW,2024-01-02,152.2356
2383.TW,2024-01-02,158.9444
2360.TW,2024-01-02,166.2341
3653.TW,2024-01-02,173.0363
2059.TW,2024-01-02,180.2142
2395.TW,2024-01-02,187.0355
5530.TW,2024-01-02,194.3589
3017.TW,2024-01-02,201.1548
2881.TW,2024-01-02,208.2683
2882.TW,2024-01-02,40.0116
2891.TW,2024-01-02,47.0353
2885.TW,2024-01-02,54.0038
2886.TW,2024-01-02,61.1067
2884.TW,2024-01-02,68.1136
2880.TW,2024-01-02,75.0667
2892.TW,2024-01-02,82.0205
2890.TW,2024-01-02,89.0579
2887.TW,2024-01-02,96.1469
5880.TW,2024-01-02,103.0608
2883.TW,2024-01-02,110.0825
2412.TW,2024-01-02,117.0644
3045.TW,2024-01-02,124.088
4904.TW,2024-01-02,130.983
1303.TW,2024-01-02,137.9738
1301.TW,2024-01-02,145.0392
6505.TW,2024-01-02,152.1718
2002.TW,2024-01-02,159.0207
2207.TW,2024-01-02,166.1909
2912.TW,2024-01-02,173.1263
1216.TW,2024-01-02,180.2574
2603.TW,2024-01-02,187.2637
2615.TW,2024-01-02,194.2697
5871.TW,2024-01-02,201.3477
2408.TW,2024-01-02,208.2309
6446.TW,2024-01-02,40.0684
3481.TW,2024-01-02,47.0578
2888.TW,2024-01-02,54.0653
6488.TWO,2024-01-02,61.0616
2609.TW,2024-01-02,67.9898
1101.TW,2024-01-02,75.0953
2618.TW,2024-01-02,82.032
3293.TWO,2024-01-02,89.1041
4938.TW,2024-01-02,96.1757
5876.TW,2024-01-02,103.0752
3529.TWO,2024-01-02,110.0869
1402.TW,2024-01-02,117.1439
2834.TW,2024-01-02,124.1848
2633.TW,2024-01-02,131.1559
3105.TWO,2024-01-02,138.167
1102.TW,2024-01-02,145.1784
2610.TW,2024-01-02,151.9681
6789.TW,2024-01-02,159.0143
2347.TW,2024-01-02,166.1743
2377.TW,2024-01-02,173.154
2353.TW,2024-01-02,180.1062
5483.TWO,2024-01-02,187.0056
6472.TW,2024-01-02,194.2309
3532.TW,2024-01-02,201.1709
8454.TW,2024-01-02,208.0062
IMOS,2024-01-02,39.9884
HIMX,2024-01-02,47.0606
2201.TW,2024-01-02,54.0124
1434.TW,2024-01-02,61.0909
2501.TW,2024-01-02,68.1013
9914.TW,2024-01-02,75.0787
OWLS,2024-01-02,81.9844
5478.TWO,2024-01-02,88.9795
2753.TW,2024-01-02,96.1142
2630.TW,2024-01-02,103.1802
6180.TWO,2024-01-02,110.0187
GRRR,2024-01-02,117.186
4994.TW,2024-01-02,123.9839
3086.TWO,2024-01-02,131.0825
PERF,2024-01-02,138.0124
6111.TWO,2024-01-02,145.2189
3546.TWO,2024-01-02,152.1778
3083.TWO,2024-01-02,159.027
6542.TWO,2024-01-02,165.9651
3687.TWO,2024-01-02,173.1816
GGR,2024-01-02,180.009
6482.TWO,2024-01-02,187.2562
2303.TW,2024-01-02,194.13
2601.TW,2024-01-02,201.3477
2607.TW,2024-01-02,208.0936
2330.TW,2024-01-03,40.0636
2317.TW,2024-01-03,47.0353
2454.TW,2024-01-03,54.0254
2308.TW,2024-01-03,61.1044
3711.TW,2024-01-03,68.0701
2382.TW,2024-01-03,74.9663
2345.TW,2024-01-03,82.1501
6669.TW,2024-01-03,89.1166
3231.TW,2024-01-03,96.0067
3037.TW,2024-01-03,103.0196
2327.TW,2024-01-03,110.2895
2379.TW,2024-01-03,117.1814
3034.TW,2024-01-03,124.1377
3661.TW,2024-01-03,131.1455
3008.TW,2024-01-03,138.4737
2357.TW,2024-01-03,145.2481
2301.TW,2024-01-03,152.4731
2383.TW,2024-01-03,158.8903
2360.TW,2024-01-03,166.4701
3653.TW,2024-01-03,173.0744
2059.TW,2024-01-03,180.4305
2395.TW,2024-01-03,187.0729
5530.TW,2024-01-03,194.7204
3017.TW,2024-01-03,201.3117
2881.TW,2024-01-03,208.5391
2882.TW,2024-01-03,40.0236
2891.TW,2024-01-03,47.071
2885.TW,2024-01-03,54.0081
2886.TW,2024-01-03,61.2143
2884.TW,2024-01-03,68.228
2880.TW,2024-01-03,75.1343
2892.TW,2024-01-03,82.0418
2890.TW,2024-01-03,89.1166
2887.TW,2024-01-03,96.2949
5880.TW,2024-01-03,103.1226
2883.TW,2024-01-03,110.1662
2412.TW,2024-01-03,117.1299
3045.TW,2024-01-03,124.1774
4904.TW,2024-01-03,130.9673
1303.TW,2024-01-03,137.9489
1301.TW,2024-01-03,145.0798
6505.TW,2024-01-03,152.3452
2002.TW,2024-01-03,159.0429
2207.TW,2024-01-03,166.3837
2912.TW,2024-01-03,173.2544
1216.TW,2024-01-03,180.517
2603.TW,2024-01-03,187.5296
2615.TW,2024-01-03,194.5416
5871.TW,2024-01-03,201.6981
2408.TW,2024-01-03,208.4225
6446.TW,2024-01-03,40.1373
3481.TW,2024-01-03,47.1162
2888.TW,2024-01-03,54.1313
6488.TWO,2024-01-03,61.1239
2609.TW,2024-01-03,67.9803
1101.TW,2024-01-03,75.1914
2618.TW,2024-01-03,82.0648
3293.TWO,2024-01-03,89.2093
4938.TW,2024-01-03,96.3526
5876.TW,2024-01-03,103.1515
3529.TWO,2024-01-03,110.175
1402.TW,2024-01-03,117.2892
2834.TW,2024-01-03,124.371
2633.TW,2024-01-03,131.3133
3105.TWO,2024-01-03,138.3355
1102.TW,2024-01-03,145.3584
2610.TW,2024-01-03,151.9377
6789.TW,2024-01-03,159.0302
2347.TW,2024-01-03,166.3504
2377.TW,2024-01-03,173.3098
2353.TW,2024-01-03,180.2143
5483.TWO,2024-01-03,187.0131
6472.TW,2024-01-03,194.4639
3532.TW,2024-01-03,201.3439
